poly,lasso,ridge,Linear
0.518921768,-0.157331485,-0.098012851,-0.157347475
-3.428045181,-0.290275614,-0.131643118,-0.290304973
7.706072723,0.56848276,0.089031577,0.568542413
17.78064469,1.168364846,0.273636094,1.168486322
19.49658583,3.285173294,1.266036165,3.285541141
19.22935045,4.502197992,2.119857098,4.502704703
19.26122587,5.558873136,2.932271504,5.559499693
19.68004513,6.618357931,3.752803999,6.619104794
20.85201645,7.573965666,4.54693677,7.574820624
21.93362086,8.458103443,5.256476393,8.459057177
22.37619043,8.951189138,5.736042702,8.952196089
22.71026959,9.484548998,6.225155576,9.485613595
22.96870572,9.87197437,6.583092438,9.873080002
22.99028534,9.880565059,6.58845906,9.881671551
21.37602244,9.684590834,6.497275094,9.685677432
19.85339245,8.331801826,6.062471187,8.332743424
18.7145112,7.293477517,5.735258837,7.294309665
16.99190359,5.563307701,5.192350256,5.563951312
15.24529663,5.554429599,5.184110317,5.555072321
17.14642996,5.872520666,5.515177848,5.873196939
18.61352671,6.237010892,5.891724962,6.237725882
19.63466057,6.551840612,6.2263517,6.552588827
18.8335261,6.409322107,6.061091689,6.41005568
17.56914927,5.74136409,5.785491714,5.742027822
14.72069131,3.836541003,5.066533152,3.836991632
10.90802925,0.852251564,3.764588354,0.852339611
7.296806179,-2.287537946,2.423488284,-2.287833404
1.092009193,-4.98319954,1.551511372,-4.983803384
-3.205538715,-5.037689955,1.498412184,-5.038299296
-3.357492352,-5.042871932,1.491410505,-5.043481792
-3.195249812,-4.904992866,1.68081192,-4.905588506
-3.143645262,-4.77918961,1.85478367,-4.779772307
-2.998111913,-4.549909003,2.196427987,-4.550467476
-2.737704565,-4.436723955,2.30538531,-4.437270906
-2.403302097,-3.8683134,2.759059997,-3.868799248
-1.640431905,-3.676648067,3.045018932,-3.677113842
-0.926398724,-3.497595219,3.31570676,-3.498042287
-0.786497592,-3.385283341,3.481887025,-3.385718869
-0.688970718,-3.238300515,3.68068414,-3.238720861
-0.837173904,-3.227588075,3.693304873,-3.228007347
-1.180660209,-2.947764023,3.917889201,-2.948154273
-2.171992582,-2.478122825,4.202819391,-2.478463897
-3.371268382,-2.045548009,4.489285015,-2.045843774
-3.528278957,-2.205605254,4.296044052,-2.205917537
-3.673659375,-2.325019315,4.160699172,-2.325343808
-3.226637894,-2.5038215,3.989634893,-2.504164379
-3.365874404,-2.630760312,3.834183126,-2.631116213
-3.48208829,-2.664004554,3.79248197,-2.664363802
-3.421901456,-2.400679554,4.100471829,-2.401011128
-3.343003257,-2.204046244,4.329598205,-2.20435741
-3.341232592,-2.016365078,4.547881816,-2.016656797
-2.44000086,-2.312158057,4.350285364,-2.312480324
-2.25764944,-2.20337899,4.465829323,-2.20369017
-1.828434959,-1.758324114,4.8692121,-1.758587821
-1.283748831,-1.311405795,5.262503985,-1.311621905
-1.15645479,-1.282684601,5.285630487,-1.282897827
-0.755993787,-1.037652503,5.488091929,-1.037840405
-2.743928772,-0.511531433,5.725136337,-0.51166466
-7.923642762,0.880932283,6.194067314,0.880949093
-15.11385328,2.791295713,6.689505721,2.791519199
-28.75551543,3.099654036,6.778904615,3.099908816
-29.86182839,1.942959564,6.170484545,1.943087048
-30.70065896,0.92407109,5.625265345,0.924087508
-31.41868632,0.202230188,5.296008041,0.202170491
-31.44120503,-0.1517888,5.168226758,-0.151884649
-31.71083658,-0.797399244,4.940216669,-0.79756209
-29.30432632,0.734001353,5.216556627,0.733998647
-28.1340357,1.242606289,5.469541599,1.242656572
-26.44566713,1.670720361,5.666410802,1.670814851
-26.2876496,1.852869368,5.78009412,1.852982416
-26.14629011,2.49466351,6.697914031,2.494850466
-26.3694055,2.928707005,7.365486699,2.928942151
-26.88539919,3.363111778,8.057484359,3.363395331
-26.35965492,3.300019616,7.866936176,3.30029666
-25.87390833,3.315725274,7.918342936,3.316003902
-25.72133634,3.313528887,7.910092922,3.313807295
-25.40499939,3.29816869,7.853233744,3.298445548
-25.19000758,3.286881843,7.811621486,3.287157564
-25.74761284,3.617209671,8.265148795,3.617520901
-26.38474985,3.782753689,8.53597701,3.783082214
-27.22963015,3.803783813,8.565507037,3.804114452
-28.28701073,3.835141246,8.607620504,3.835475043
-30.29533636,4.013331848,8.819175667,4.013684088
-30.03048442,4.239270008,9.209376769,4.239646299
-33.17260098,4.651932195,9.598760171,4.652352409
-37.1986363,5.235575299,10.11145385,5.236058821
-35.48614082,6.286367301,11.10660528,6.286973171
-34.9153616,7.059068279,12.06368037,7.059763632
-34.66899678,7.260672888,12.2388897,7.261388986
-34.19626076,8.057480495,13.05634097,8.058287032
-33.31991516,9.210324554,14.32468444,9.211270519
-32.00979816,9.505077909,14.84967842,9.506055906
-30.56169681,9.888278996,15.53982151,9.889299682
-28.57014111,10.36957938,16.39433645,10.37065499
-28.29385154,10.56546196,16.73516506,10.56655826
-28.9041754,10.65158539,16.87770438,10.65269051
-27.39084604,10.41272604,16.77458495,10.41380686
-26.52401187,9.981835175,16.51003254,9.982871021
-25.2535294,10.00941372,16.52958103,10.01045233
-24.18103493,9.737220117,16.3269017,9.738230597
-22.97359561,10.14508428,16.62540465,10.14613756
-22.76537926,10.71868833,17.05547549,10.71980305
-22.5330205,11.51371742,17.64459365,11.51491938
-29.59051868,12.05588531,17.93048893,12.05714405
-28.56796133,13.18155237,19.23300467,13.18294788
-27.75052396,14.20294763,20.28463368,14.20446302
-27.38417191,15.03077687,21.10470218,15.03238625
-26.98181149,15.81757618,21.94379213,15.81927516
-26.50014885,16.5321386,22.7019873,16.53391798
-25.5900019,16.93915304,22.98914592,16.94097505
-24.22467136,16.85990016,22.94560625,16.86171418
-21.78021613,16.48887776,22.76799522,16.49065359
-20.21615288,15.88178672,22.48709812,15.88349903
-18.37292776,17.08499714,23.19063909,17.08684375
-17.3094962,18.98722166,24.05524505,18.98928565
-14.99460118,19.94931065,24.84259793,19.95148337
-13.40762336,20.62000538,26.02381253,20.62225825
-11.69278524,21.30323794,27.30289583,21.30557356
-11.04995002,21.82088502,28.44134349,21.82328213
-10.44844291,22.35512336,29.62655753,22.35758435
-9.954308869,22.85841489,30.73071048,22.86093538
-7.921958729,23.51988704,31.25395025,23.52247941
-5.781798359,24.15033303,31.75368709,24.15299364
-4.544233577,25.24082762,32.40013529,25.24360893
-3.305849572,26.41544304,33.11112122,26.4183556
-2.585949422,26.86808793,33.4732819,26.87104846
-2.01472424,27.22874224,33.763532,27.23174057
-1.513706979,27.60281023,34.06896193,27.60584786
-1.115773715,27.76568237,34.19168087,27.76873662
-0.536032606,28.21344825,34.60244227,28.21655032
-0.309038367,28.69091861,34.95313844,28.69407119
0.465864329,29.44950837,35.55031317,29.45274429
1.625665285,30.44704257,36.24190045,30.45038964
2.641735283,31.49957791,37.14131297,31.50304588
3.408752695,32.38882715,37.95311387,32.39239596
4.485017834,33.26339772,38.75044211,33.26706551
0.602156143,32.88631839,38.56380875,32.8899473
-4.137673407,32.57189721,38.40720455,32.57549386
-1.324045156,32.99541262,38.64600499,32.9990533
3.096993233,34.18878027,39.12005349,34.19254963
7.651378513,34.6138967,39.29767496,34.61770983
8.161044303,35.18786719,39.88094369,35.19174324
8.806299473,35.80423701,40.54638242,35.80818147
9.384170657,36.36790461,41.32525044,36.37191269
9.466848721,36.44097127,41.45207978,36.44498681
9.414625748,36.38187279,41.34624878,36.38588232
8.898536612,36.20154109,41.02171311,36.20553162
8.47149531,36.03278347,40.71776075,36.03675628
8.088896045,36.11569769,40.87237022,36.119679
9.581983208,37.10417369,42.1498853,37.10827469
11.13948865,38.00211452,43.62863534,38.00632724
12.1658568,39.41088667,45.20362163,39.41527691
13.31901234,40.64670261,46.60963496,40.65124511
14.44199365,41.89316665,48.37805265,41.89787019
15.52742626,42.67131727,49.68592962,42.67611543
16.62610532,43.29349372,50.89356278,43.2983665
17.52443935,43.93344027,52.07647895,43.93838955
17.76311999,44.16915558,52.46049825,44.17412993
17.29811508,44.32056131,52.74360369,44.32555151
17.63132996,44.63091698,53.38825265,44.63594152
17.5250495,44.84639246,53.61444296,44.85143935
19.32660054,45.10151182,54.17036608,45.10658657
21.58987933,45.46480408,55.00127107,45.46992014
22.22733631,45.79236518,55.85584061,45.79751862
21.98993076,46.03878347,56.55397126,46.0439644
22.23134068,46.34033674,57.46459363,46.34555236
21.84442493,46.77908693,58.26973452,46.78435226
21.82106541,47.20989692,59.06130048,47.21521096
22.3570508,47.72046453,59.93129164,47.72583696
25.73965496,48.42718374,60.90963746,48.43263826
27.30684664,50.37573205,62.13958315,50.381421
27.78327683,51.59983921,62.85543443,51.60566504
28.7192179,52.29718314,63.44398122,52.30308549
30.33557785,53.35208108,64.53815789,53.35810797
31.85732863,54.21999887,65.37453574,54.22612455
33.53299123,54.81936836,66.05399352,54.82556071
35.34316535,55.41219674,66.7355576,55.41845504
36.76678762,55.87616478,67.22146762,55.8824732
38.2682778,56.32791215,67.67137486,56.33426911
38.87426499,56.92058791,68.45412869,56.92701179
39.51350782,57.93492955,69.11702521,57.94146598
40.40994174,58.82378656,70.33723408,58.83042978
41.28950014,59.73319274,71.57025922,59.73994541
42.22605776,60.66095212,72.85416438,60.66781724
43.49881871,61.65598518,73.93656198,61.66296759
46.23418747,62.9338212,75.14806597,62.94095695
48.4466681,64.88504241,76.35319766,64.89241211
48.57201642,66.66072251,77.36648645,66.66829949
49.78285443,67.68476149,78.58756893,67.69246152
51.16022661,68.83649831,79.98307295,68.84434006
52.51415469,69.99403824,81.38309252,70.0020225
53.92147739,71.30386347,82.92371978,71.31201203
54.44314671,71.79440553,83.42234645,71.80260718
55.51545766,72.97860627,84.63830143,72.98695013
56.33957125,73.86466314,85.44371061,73.87310739
56.99421189,74.84180556,86.34674868,74.85036209
57.7946973,75.25721825,86.67059181,75.26581855
59.3381832,76.8735495,87.92069091,76.88234479
61.13128728,78.57252611,88.82030945,78.58151654
63.79410283,80.3873416,89.76880835,80.39654195
64.09864455,80.65981904,89.93035123,80.66904736
65.13522141,81.76241777,90.61347884,81.7717688
66.66390555,82.98257718,91.15128421,82.99206106
68.001069,84.95181202,92.40994022,84.96153375
69.48489339,86.63870809,93.34735976,86.64862462
71.22847173,88.26357302,94.2548295,88.27367639
73.1759128,90.28032905,95.97966804,90.29069152
75.43846284,92.20719346,97.5667659,92.21779912
77.58380156,93.7997175,98.71021729,93.81051247
79.17651913,94.83342021,99.28713518,94.8443284
67.53433135,97.21962297,100.0908398,97.23080146
56.31733726,96.14751846,99.63935298,96.15858174
55.97973575,96.51494962,100.0204081,96.52605196
55.88257237,97.10910373,100.6245291,97.12027142
56.44346855,97.63050967,101.2674899,97.64173503
56.99054847,98.14660628,101.9346037,98.15788894
57.58655303,98.63504386,102.4962141,98.6463799
57.94901764,99.21558213,102.9720499,99.22698078
58.52006937,99.65337162,103.4689148,99.66481765
59.12727741,100.1203932,104.0007618,100.13189
59.78919027,100.6101268,104.578714,100.6216773
60.44336953,101.1724242,105.3459522,101.1840381
60.69540779,101.51439,105.8911521,101.5260411
61.15673067,101.5421992,105.9374356,101.5538531
61.64529571,101.6935103,106.2407932,101.7051801
62.11618799,101.7867293,106.4210334,101.7984087
62.47358583,101.9254593,106.7095707,101.9371532
62.95367286,102.067874,106.9939194,102.0795829
64.42178235,102.9881842,107.3038326,102.9999898
55.4032053,104.1840106,107.6811231,104.1959433
56.67871929,105.508648,108.6762117,105.5207349
56.81748787,105.5782852,108.7313083,105.5903791
56.54789957,105.4500457,108.5933843,105.4621265
56.28766648,105.3456473,108.4812338,105.3577175
56.14522727,105.2676542,108.3983717,105.2797164
54.03365015,104.4698352,107.6379286,104.4818076
53.76624315,104.5894251,107.7229906,104.6014097
52.97093669,104.3639849,107.6059593,104.3759464
53.87698698,104.8796657,107.914373,104.8916815
55.03632721,105.3191854,108.1801162,105.3312471
55.92702692,105.8154995,108.8602593,105.8276164
57.38040226,106.2350731,109.3332981,106.2472352
59.48870648,107.1280914,110.5798029,107.1403612
61.35610094,108.0453992,111.8599662,108.0577801
63.18697942,109.0053517,113.1898306,109.0178497
65.57323378,109.5366836,113.7118015,109.5492393
69.44514533,110.090002,114.217303,110.1026177
71.87504566,110.3093945,114.4346676,110.3220329
74.45620056,110.4533851,114.5725427,110.4660382
74.92953906,110.7390613,114.8067678,110.7517441
75.15537789,111.1141101,115.1328798,111.1268324
75.19778982,111.4917169,115.3496272,111.5044783
74.39500432,111.6550959,115.4897515,111.667874
74.80221215,112.0638769,116.0865824,112.0767
75.38832869,112.5945112,116.9991546,112.6073953
76.04107306,113.1412641,117.8478027,113.1542105
76.79744343,113.7963351,119.0149532,113.8093597
77.63042229,114.4881406,120.283216,114.5012488
78.49790247,115.180926,121.4506983,115.1941169
81.08854495,116.2379156,122.2919863,116.2512268
83.10593963,117.2926264,123.2794042,117.3060604
83.5327636,117.8471263,123.9227415,117.8606216
83.61128116,118.0141618,124.1200924,118.0276743
83.73578484,118.2137871,124.3632425,118.2273204
84.55502573,118.6528578,124.795614,118.6664381
85.36552541,119.1300105,125.2679849,119.1436423
85.92183589,119.7254221,125.774423,119.7391184
87.88506297,120.1564899,126.0862507,120.1702315
89.44632945,120.6035235,126.4086014,120.6173122
90.62426504,120.9547275,126.6460515,120.9685527
86.0604186,120.1797871,126.2660421,120.19353
85.75343446,119.969433,126.0867359,119.9831542
86.59496057,119.7810761,125.9533196,119.794778
89.4343516,121.1341916,127.0183601,121.1480526
91.17355427,122.4782547,128.0363541,122.4922727
93.5990643,124.3368079,129.3826834,124.3510532
97.21629429,125.3357929,130.5567362,125.3501574
101.8325654,126.1515509,131.3704135,126.1660079
105.210657,127.2162321,132.4479836,127.2308145
108.5754856,128.4198841,133.6226087,128.4346103
83.90262568,127.769649,133.2741777,127.7843064
99.55048777,128.9847042,133.8476806,128.9994946
101.0040177,128.9548827,133.7622513,128.96967
100.6395189,128.9215987,133.6607054,128.9363827
101.2935634,129.1488185,134.473863,129.1636283
102.2667962,129.3615237,135.2855396,129.3763576
103.2524312,129.583181,136.1299753,129.5980402
103.8226822,130.647922,137.5624933,130.6629128
104.5695139,131.6400554,138.9403,131.655168
105.3428946,132.3054065,139.6905224,132.3205939
106.8397455,133.3351818,140.3349056,133.3504832
108.5319261,135.0347249,141.1755144,135.0502198
109.7507149,135.7026439,141.7468408,135.7182119
111.3077232,136.3705855,142.460966,136.3862281
112.2166384,137.13441,143.239911,137.1501389
112.9028609,137.9168516,144.0710755,137.9326694
113.4225506,138.6724163,144.7904371,138.6883187
113.6767754,139.9396468,146.242194,139.9557062
114.4131756,141.3916542,147.7521744,141.407895
114.6093843,142.6487121,149.0504276,142.6651056
114.7857787,143.7728934,150.2624371,143.7894218
115.7044539,144.4982104,151.5823214,144.5148272
116.025108,144.8214819,152.0414909,144.8381335
116.2789705,145.0685438,152.406009,145.0852216
116.4404335,145.2867845,152.7029943,145.3034852
116.7917008,145.5941955,153.1356791,145.6109291
117.6863829,146.4430332,153.7272525,146.45986
111.5716836,147.4341534,154.0410588,147.4510844
112.8589698,148.6302864,155.1555704,148.647359
114.11066,149.9386256,156.3339283,149.9558546
115.2452478,151.1508209,157.4874305,151.1681942
114.4491258,152.4237431,158.3123803,152.441261
115.033725,153.4235169,159.2129115,153.4411496
115.6642923,154.0624695,159.6594765,154.0801709
116.4454034,154.8946592,160.2580551,154.9124519
119.3515729,155.9630139,160.792363,155.980923
121.6747141,157.3650107,161.4483546,157.3830751
124.0516273,159.7703643,162.5087892,159.7887114
127.8744565,160.569485,162.9909907,160.5879184
128.1290542,160.9400056,163.2658836,160.9584777
128.4069986,160.7290996,163.0802925,160.74755
129.8230729,160.7470977,163.0980418,160.7655499
128.8525322,160.4916941,162.8178992,160.5101195
128.5074407,160.1674231,162.511818,160.1858144
128.5478968,159.9163896,162.2887786,159.9347549
128.4321588,160.2249724,162.3907948,160.2433691
126.1814111,160.1979683,162.3814444,160.2163623
125.5139389,160.4054351,162.4471628,160.4238501
125.7422452,161.0352687,162.6504566,161.0537488
126.1250557,162.0330928,163.0176834,162.0516788
126.6120126,162.3522282,163.138065,162.3708467
126.9119127,163.3330284,164.1932849,163.3517621
125.9341544,164.0309393,165.1028104,164.0497533
124.7142143,164.7302857,165.9777242,164.7491797
122.2861613,165.6461578,167.0479582,165.6651596
124.4465379,167.0366821,168.4385958,167.0558548
126.954429,168.1142332,169.2931824,168.1335289
128.3750483,169.6050842,170.2937254,169.6245536
130.306326,171.1857072,171.3536599,171.2053623
131.8093143,172.1782267,172.0499921,172.1979925
133.7355514,173.7690863,173.3373627,173.789045
135.843375,175.1945633,175.156996,175.2147074
137.5266397,176.536063,177.0331093,176.5563828
138.5682713,177.2264863,178.7019448,177.2468942
139.7676325,178.1023247,180.9032526,178.122852
140.0162865,178.7784577,182.5507384,178.799071
140.5941396,179.5915894,184.302399,179.6123075
142.1276436,180.6334042,186.2846914,180.6542606
142.7140503,182.5014471,187.6791122,182.5225332
141.6793987,183.6523627,188.4426686,183.6735785
142.2175535,184.2103825,189.0597935,184.2316598
142.7601973,184.7812489,189.6922587,184.8025892
143.3135327,185.4103615,190.3956395,185.4317721
143.7994598,186.0074875,191.0638008,186.0289644
142.5453744,185.971137,191.0431064,185.9926102
142.5187468,185.6814164,190.9902991,185.7028604
144.1110486,186.9800591,191.414877,187.0016421
145.0501433,188.2623045,191.8342904,188.2840245
145.8310346,189.4212306,192.218153,189.4430739
146.9846461,189.8012573,192.7510513,189.823142
147.7423059,190.0599579,193.0897206,190.0818699
148.2359414,190.2511894,193.356179,190.2731213
147.8530153,190.4280864,193.5925052,190.4500367
147.302162,190.5882217,193.8023482,190.6101886
147.1417355,191.0765678,194.2008326,191.0985868
146.1313689,191.4424953,194.4722963,191.4645525
145.7437623,191.9118361,194.8656619,191.9339433
146.7122436,192.8678133,195.833018,192.8900314
147.5497241,193.8339365,196.8108145,193.8562667
148.701486,194.9551555,197.7909824,194.977616
147.6014845,195.6948448,198.1813556,195.7173841
146.8560342,196.7202048,198.7651114,196.7428565
145.3287412,198.0736145,199.4889112,198.0964177
147.0012394,198.9497366,200.5947154,198.9726434
147.5869401,199.5322149,201.4222074,199.5551879
148.2244884,200.1040276,202.2340005,200.1270655
149.0073391,200.7601687,203.1841239,200.7832825
149.6124762,201.2567376,203.8661189,201.2799066
150.8038154,202.2054987,204.7238561,202.2287761
152.1432305,203.4816405,205.3118545,203.5050579
153.4590071,204.8708511,206.2981223,204.89443
154.4179052,205.8791849,206.9748275,205.9028759
154.3620069,206.2738363,207.2336569,206.2975684
154.2222462,206.7100683,207.5570931,206.7338464
153.1322534,206.4979214,207.3651914,206.5216776
151.5453199,205.6621648,206.6655087,205.6858278
149.8742672,204.9435602,206.0628336,204.9671441
148.1855464,203.5939929,205.2550975,203.6174239
146.9693636,203.2487129,204.9910857,203.2721079
147.7025811,203.9260579,205.3866954,203.949525
147.1749252,204.8928944,205.9004264,204.9164664
146.6688509,206.0696133,206.466315,206.0933141
145.9902854,206.9059286,206.8926094,206.9297188
145.5067125,207.0456279,206.9541927,207.0694322
144.2892461,206.8605849,206.8717504,206.8843705
144.4503139,207.3449137,207.1644803,207.3687501
145.3969043,207.9906382,207.5827234,208.0145437
145.9517927,208.1751374,207.8118155,208.199062
146.8315442,208.5800298,208.3318711,208.6039983
147.7789396,208.9738863,208.8393928,208.9978976
149.3733817,209.4177058,209.3401657,209.4417651
150.7772986,209.9441611,209.9579904,209.9682784
152.1607515,211.2162274,210.8412301,211.2404905
152.6152969,211.8009229,211.1609678,211.8252475
153.1301826,212.2345016,211.6182929,212.2588729
153.8636677,212.734894,212.154124,212.7593197
154.620108,213.1225464,212.5198597,213.1470133
155.9447878,213.4340444,212.8148756,213.4585439
157.7916362,213.3718079,212.7660539,213.3963011
159.7817644,215.1276038,213.3851884,215.1522906
163.2750115,218.3642001,214.2665709,218.3892577
165.3906097,219.9113961,214.6744464,219.9366188
165.6810197,220.4495983,214.8501464,220.4748764
164.8811847,220.5026339,214.9801505,220.5279174
165.0300047,220.5891562,215.2002719,220.6144486
165.4931807,220.6219583,215.283692,220.6472541
166.5486052,220.7749598,215.675355,220.8002718
167.1325218,220.9572283,216.1460354,220.98256
169.5077292,222.1777002,216.6824353,222.2031648
171.1447644,223.2608307,217.2120097,223.2864131
172.7037146,224.5090857,217.8503531,224.534806
174.8428814,225.6380087,218.3351723,225.663851
177.8857277,226.556437,218.7351116,226.5823772
180.7221325,227.1979043,219.0072276,227.2239116
200.786032,228.3898519,219.146525,228.4159811
208.5289595,228.0096163,219.0897548,228.0357071
207.0351148,229.9947857,220.0816492,230.0211075
206.0455454,231.3282632,220.8603124,231.3547355
205.2283283,232.422774,221.5693106,232.4493686
205.7298344,233.5012946,222.4056768,233.528012
206.9717598,234.7682936,223.3648034,234.7951578
206.0755144,235.7099913,223.5982248,235.7369533
206.8932662,236.4793864,223.7929493,236.5064277
202.7177365,236.58923,223.8227624,236.6162824
208.603774,234.9443205,223.5378991,234.9712007
215.7457749,232.6486686,223.0554437,232.6753009
242.000358,229.0247458,222.4274959,229.0509781
257.0438861,226.0891039,221.9314134,226.1150186
270.2599094,221.9587403,221.1631635,221.9841896
255.5788238,221.1142289,220.9152709,221.1395902
251.6636973,219.853753,220.4061788,219.8789776
248.6142035,219.2051455,220.0984863,219.230302
246.8537866,218.7363979,219.8702868,218.7615057
247.160095,218.6923673,219.8493494,218.7174708
247.0993366,218.2995838,219.6375979,218.3246466
247.8251133,218.301576,219.6388189,218.326639
248.6310272,218.2486225,219.605485,218.2736801
249.0150724,217.4136461,219.144678,217.4386139
248.2708836,217.4763352,219.223393,217.5013093
248.0232316,217.6838737,219.4611365,217.7088694
242.9371133,217.47957,219.2478387,217.5045446
239.1045715,217.2195224,218.9784822,217.2444698
237.1613513,216.7837328,218.5239148,216.8086334
234.4634512,215.1893277,217.7924858,215.2140495
234.4598115,214.6452304,217.509628,214.6698953
235.0202371,215.1208371,217.7507481,215.1455515
234.501575,215.0559158,217.7125329,215.0806236
235.9529767,215.0602514,217.714083,215.0849597
239.5424484,215.6865086,217.9334542,215.7112818
238.5106737,215.0747762,217.7452578,215.0994863
236.1127666,214.465643,217.5578074,214.4902903
232.4655838,213.5341929,217.2577651,213.5587424
227.817209,212.2235328,216.7951464,212.2479412
227.9126251,212.2085182,216.788823,212.2329251
229.1075424,213.1657594,217.5729914,213.1902744
230.0844828,214.0860181,218.3344073,214.1106368
230.1036858,214.5377957,218.6761269,214.5624621
228.5028557,215.6723637,219.2803637,215.6971549
227.5127049,216.9495189,219.9624084,216.9744522
222.8051502,217.1524707,220.041059,217.1774246
204.3000632,217.3211102,220.1082394,217.346081
200.7730504,217.0431983,219.9918214,217.0681409
199.4448124,217.5624281,220.2773377,217.587425
200.0370491,218.1184425,220.6793197,218.1434987
200.5442311,218.5661656,221.0026049,218.591269
200.8860136,218.7716783,221.1676791,218.7968028
201.4592893,219.0519495,221.3695863,219.077103
201.840489,219.1907778,221.469004,219.2159454
201.9847073,219.2104967,221.4803949,219.2356663
201.99525,219.7465143,221.9287618,219.7717414
202.865771,220.5010796,222.8052236,220.5263931
203.6524997,221.1804004,223.5944836,221.2057907
204.3316274,221.8529012,224.3645635,221.8783673
204.9639623,222.5582702,225.1689066,222.5838162
204.7730645,223.2961727,225.8217412,223.3218004
205.5447585,223.0140126,225.7388362,223.0396117
207.7758768,224.7925847,226.0702193,224.8183715
210.7731607,227.2826998,226.5421393,227.3087549
213.083508,228.8110163,226.7915976,228.8372306
213.5259566,229.6278114,227.0047793,229.6541102
214.2870058,230.550359,227.2517486,230.5767539
215.2934861,230.9750296,227.4378672,231.0014683
215.9219626,231.571288,227.798372,231.5977899
216.5204553,232.1482064,228.1446307,232.1747692
217.1330154,232.6717425,228.4557147,232.6983604
217.7967124,233.2103297,228.8112262,233.2370046