Date,linear,poly,ridge,lasso,actual 
4/18/23,5149.945159,2749.847475,-1053.147721,2164.851539,4029.858843
4/19/23,6982.945349,4582.847665,779.852469,3997.851729,2105.357114
4/20/23,8906.945139,6506.847455,2703.852259,5921.851519,4395.254498
4/21/23,10814.94456,8414.846875,795.852839,4013.852099,7107.552772
4/24/23,12915.94477,10515.84709,2896.853049,6114.852309,4603.700616
4/25/23,15155.94492,12755.84724,5136.853199,8354.852459,7017.348849
4/26/23,16870.94508,14470.8474,6851.853359,10069.85262,5183.947665
4/27/23,18428.9445,16028.84682,8409.852779,11627.85204,7625.745684
4/28/23,20035.94447,17635.84679,10016.85275,13234.85201,10280.44379
5/1/23,21678.9445,19278.84682,11659.85278,14877.85204,8288.941955
5/2/23,23242.94443,20842.84675,13223.85271,16441.85197,11048.33951
5/3/23,24844.9441,22444.84642,14825.85238,18043.85164,13815.93751
5/4/23,23337.94413,23951.84639,13318.85241,16536.85167,17266.36151
5/5/23,25167.44471,25781.34697,15148.35299,18366.35225,22323.08382
5/8/23,26912.44516,27526.34742,16893.35344,20111.3527,19843.55756
5/9/23,28578.44477,29192.34703,18559.35305,21777.35231,17953.4308
5/10/23,29824.44468,30438.34694,19805.35296,23023.35222,19847.75354
5/11/23,30691.4445,29571.34712,18938.35314,22156.3524,18786.87587
5/12/23,31425.44489,30305.34751,18204.35275,21422.35201,22502.4488
5/15/23,32236.44495,31116.34757,19015.35281,22233.35207,26966.92049
5/16/23,32632.44563,31512.34825,19411.35349,22629.35275,27929.2921
5/17/23,32986.44495,31866.34757,19765.35281,22983.35207,29800.56334
5/18/23,34597.44578,33477.3484,21376.35364,24594.3529,31925.68785
5/19/23,36015.44505,34895.34767,22794.35291,26012.35217,29525.01141
5/22/23,37153.44478,36033.3474,21656.35318,24874.35244,30920.45973
5/23/23,38402.44457,37282.34719,20407.35339,23625.35265,29671.45994
5/24/23,39822.44426,38702.34688,21827.35308,25045.35234,28251.46025
5/25/23,41060.44398,39940.3466,23065.3528,26283.35206,30013.46053
5/26/23,42415.44352,41295.34614,24420.35234,27638.3516,32658.46099
5/30/23,41051.44358,42659.34608,25784.35228,29002.35154,34294.46105
5/31/23,42487.44288,41223.34678,24348.35298,27566.35224,35730.46035
6/1/23,43809.44224,39901.34742,23026.35362,26244.35288,37052.45971
6/2/23,45038.44233,38672.34733,24255.35371,27473.35297,38281.4598
6/5/23,46047.44272,39681.34772,25264.3541,28482.35336,37272.45941
6/6/23,46824.44162,40458.34662,26041.353,29259.35226,38049.45831
6/7/23,47755.44138,39527.34686,26972.35276,30190.35202,38980.45807
6/8/23,48800.44107,40572.34655,28017.35245,31235.35171,40025.45776
6/9/23,49916.44068,39456.34694,29133.35206,32351.35132,41141.45737
6/12/23,48751.44053,40621.34709,30298.35221,33516.35147,42306.45752
6/13/23,47547.44044,41825.34718,29094.35212,32312.35138,41102.45743
6/14/23,46322.43968,43050.34794,27869.35136,31087.35062,42327.45819
6/15/23,45181.44008,44191.34754,26728.35176,29946.35102,43468.45779
6/16/23,43723.4399,45649.34772,25270.35158,28488.35084,42010.45761
6/20/23,42205.43987,44131.34769,23752.35155,26970.35081,43528.45764
6/21/23,40285.43941,42211.34723,25672.35201,28890.35127,41608.45718
6/22/23,38554.44041,40480.34823,27403.35101,30621.35027,39877.45818
6/23/23,36671.43946,38597.34728,29286.35196,32504.35122,41760.45913
6/26/23,34229.43964,41039.3471,26844.35214,30062.3514,44202.45895
6/27/23,31496.44022,38306.34768,29577.35156,32795.35082,41469.45953
6/28/23,33986.43961,40796.34707,32067.35095,35285.35021,38979.46014
6/29/23,31440.4397,43342.34698,29521.35104,32739.3503,41525.46005
6/30/23,28821.43945,45961.34723,26902.35079,30120.35005,44144.4603
7/3/23,31538.43926,43244.34742,29619.3506,32837.34986,41427.46049
7/5/23,33779.43886,41003.34782,31860.3502,35078.34946,39186.46089
7/6/23,31584.4384,38808.34736,34055.35066,37273.34992,36991.46043
7/7/23,29279.4381,36503.34706,36360.35096,39578.35022,39296.46073
7/10/23,26572.43813,33796.34709,39067.35093,42285.35019,42003.4607
7/11/23,23268.43804,30492.347,35763.35084,38981.3501,38699.46061
7/12/23,20238.43849,27462.34745,38793.35039,42011.34965,35669.46106
7/13/23,22684.43764,29908.3466,36347.35124,39565.3505,38115.46021
7/14/23,20254.43733,27478.34629,33917.35093,37135.35019,40545.46052
7/17/23,23019.43824,30243.3472,31152.35002,34370.34928,43310.46143
7/18/23,25966.43837,33190.34733,28205.34989,31423.34915,40363.4613
7/19/23,23043.4388,30267.34776,25282.35032,28500.34958,37440.46173
7/20/23,19832.43874,27056.3477,28493.35038,31711.34964,34229.46167
7/21/23,16867.43783,24091.34679,25528.34947,28746.34873,31264.46076
7/24/23,14027.43768,21251.34664,22688.34932,25906.34858,34104.46091
7/25/23,11203.43789,24075.34643,25512.34911,28730.34837,31280.46112
7/26/23,13262.43752,26134.34606,27571.34874,30789.348,29221.46149
7/27/23,15260.43862,28132.34716,25573.34764,28791.3469,31219.46259
7/28/23,17119.43978,29991.34832,27432.3488,30650.34806,33078.46375
7/31/23,19102.43996,28008.34814,29415.34898,32633.34824,35061.46393
8/1/23,21092.43935,26018.34875,31405.34837,34623.34763,37051.46332
8/2/23,22950.43953,24160.34857,33263.34855,36481.34781,38909.4635
8/3/23,24648.4391,22462.349,34961.34812,38179.34738,37211.46393
8/4/23,23284.43916,21098.34906,36325.34806,39543.34732,35847.46399
8/7/23,24208.43819,20174.35003,35401.34903,38619.34829,34923.46496
8/8/23,25038.4385,21004.35034,34571.34872,37789.34798,34093.46465
8/9/23,25963.4385,21929.35034,33646.34872,36864.34798,33168.46465
8/10/23,26788.4385,22754.35034,34471.34872,37689.34798,33993.46465
8/11/23,27791.43837,23757.35021,35474.34859,38692.34785,32990.46478
8/14/23,28846.43868,24812.35052,34419.34828,37637.34754,31935.46447
8/15/23,29770.4377,25736.34954,33495.34926,36713.34852,32859.46349
8/16/23,30886.43807,26852.34991,34611.34963,37829.34889,31743.46312
8/17/23,31648.43758,27614.34942,35373.34914,38591.3484,32505.46263
8/18/23,32583.43819,28549.35003,36308.34975,39526.34901,33440.46324
8/21/23,33646.43868,29612.35052,37371.35024,40589.3495,34503.46373
8/22/23,34725.43801,30691.34985,38450.34957,41668.34883,33424.4644
8/23/23,35859.43765,29557.35021,39584.34921,42802.34847,34558.46404
8/24/23,34935.4371,30481.35076,40508.34976,43726.34902,35482.46459
8/25/23,36008.43668,31554.35034,41581.34934,44799.3486,34409.46501
8/28/23,36909.43766,32455.35132,42482.35032,45700.34958,35310.46599
8/29/23,37499.43705,33045.35071,41892.35093,45110.35019,35900.46538
8/30/23,37989.43796,33535.35162,42382.35184,45600.3511,36390.46629
8/31/23,38474.43704,34020.3507,41897.35276,45115.35202,36875.46537
9/1/23,38977.43691,34523.35057,42400.35263,45618.35189,36372.4655
9/5/23,39424.43551,34970.34917,42847.35123,46065.35049,36819.4641
9/6/23,39984.43612,35530.34978,42287.35062,45505.34988,36259.46349
9/7/23,40587.436,36133.34966,42890.3505,46108.34976,35656.46361
9/8/23,41144.43674,36690.3504,43447.35124,46665.3505,36213.46435